A,AISC_name,Cw,Dlt,EDI_Std_Nomenclature,H,Ix,Iy,J,PA,PB,PC,PD,Sx,Sy,T_F,Type,W,WGi,Zx,Zy,bf,bfdet,bf_2tf,d,ddet,kdes,kdet,ro,rx,ry,tf,tfdet,tw,twdet,twdet_2,y,yp
3.67,WT3X12.5,0.171,10,WT3X12.5,0.953,2.29,8.53,0.229,12.1,18.2,12.5,18.5,0.886,2.81,F,WT,12.5,3.5,1.68,4.28,6.08,6.13,6.68,3.19,3.25,0.705,0.94,1.76,0.789,1.52,0.455,0.44,0.32,0.31,0.19,0.61,0.302
2.94,WT3X10,0.0858,11.9,WT3X10,0.953,1.76,6.64,0.12,11.9,17.9,12.2,18.2,0.693,2.21,F,WT,10,3.5,1.29,3.36,6.02,6,8.25,3.1,3.13,0.615,0.88,1.73,0.774,1.5,0.365,0.38,0.26,0.25,0.13,0.56,0.244
2.21,WT3X7.5,0.0342,13,WT3X7.5,0.937,1.41,4.66,0.0504,11.7,17.6,12,18,0.577,1.56,F,WT,7.5,3.5,1.03,2.37,5.99,6,11.5,3,3,0.51,0.75,1.71,0.797,1.45,0.26,0.25,0.23,0.25,0.13,0.558,0.185
2.37,WT3X8,0.0426,12.1,WT3X8,0.88,1.69,2.21,0.111,10,14,10.3,14.3,0.685,1.1,F,WT,8,2.25,1.25,1.69,4.03,4,4.98,3.14,3.13,0.655,0.88,1.37,0.844,0.966,0.405,0.38,0.26,0.25,0.13,0.676,0.294
1.78,WT3X6,0.0178,13.1,WT3X6,0.846,1.32,1.5,0.0449,9.7,13.7,10,14,0.564,0.748,F,WT,6,2.25,1.01,1.16,4,4,7.14,3.02,3,0.53,0.75,1.37,0.862,0.918,0.28,0.25,0.23,0.25,0.13,0.677,0.222
1.34,WT3X4.5,0.00736,17.4,WT3X4.5,0.852,0.95,1.1,0.0202,9.5,13.4,9.84,13.8,0.408,0.557,F,WT,4.5,2.25,0.72,0.856,3.94,4,9.16,2.95,3,0.465,0.69,1.34,0.842,0.905,0.215,0.19,0.17,0.19,0.13,0.623,0.17
1.26,WT3X4.25,0.0062,17.2,WT3X4.25,0.839,0.905,0.995,0.0166,9.44,13.4,9.78,13.7,0.397,0.505,F,WT,4.25,2.25,0.7,0.778,3.94,4,10.1,2.92,2.88,0.445,0.69,1.34,0.848,0.89,0.195,0.19,0.17,0.19,0.13,0.637,0.16
2.78,WT2.5X9.5,0.0775,9.56,WT2.5X9.5,0.964,1.01,4.56,0.157,9.93,15,10.2,15.2,0.485,1.81,F,WT,9.5,2.75,0.97,2.76,5.03,5,5.85,2.58,2.63,0.73,0.81,1.44,0.604,1.28,0.43,0.44,0.27,0.25,0.13,0.487,0.276
2.35,WT2.5X8,0.0453,10.5,WT2.5X8,0.962,0.845,3.75,0.0958,9.76,14.8,10,15,0.413,1.5,F,WT,8,2.75,0.801,2.28,5,5,6.94,2.51,2.5,0.66,0.75,1.43,0.599,1.26,0.36,0.38,0.24,0.25,0.13,0.458,0.235
1.91,WT2X6.5,0.0233,7.43,WT2X6.5,0.947,0.526,1.93,0.075,7.95,12,8.22,12.3,0.321,0.95,F,WT,6.5,2.25,0.616,1.46,4.06,4,5.88,2.08,2.13,0.595,0.75,1.16,0.524,1,0.345,0.38,0.28,0.25,0.13,0.44,0.236
1.82,MT6.25X6.2,0.0284,40.4,MT6.25X6.2,0.634,7.29,1,0.0246,0,0,0,0,1.61,0.536,F,MT,6.2,0,2.92,0.839,3.75,3.75,8.22,6.27,6.25,0.563,0.56,2.69,2.01,0.746,0.228,0.25,0.155,0.13,0.06,1.74,0.372
1.7,MT6.25X5.8,0.0268,40.3,MT6.25X5.8,0.602,6.94,0.756,0.0206,0,0,0,0,1.57,0.432,F,MT,5.8,0,2.86,0.684,3.5,3.5,8.29,6.25,6.25,0.563,0.56,2.75,2.03,0.669,0.211,0.19,0.155,0.13,0.06,1.84,0.808
1.74,MT6X5.9,0.0337,33.9,MT6X5.9,0.567,6.61,0.543,0.0249,0,0,0,0,1.61,0.354,F,MT,5.9,0,2.89,0.575,3.07,3.13,6.82,6,6,0.563,0.56,2.71,1.96,0.561,0.225,0.25,0.177,0.19,0.13,1.89,1.13
1.59,MT6X5.4,0.025,37.4,MT6X5.4,0.574,6.03,0.506,0.0196,0,0,0,0,1.46,0.33,F,MT,5.4,0,2.63,0.532,3.07,3.13,7.31,5.99,6,0.563,0.56,2.69,1.95,0.566,0.21,0.19,0.16,0.19,0.13,1.86,1.05
