A,AISC_name,Cw,EDI_Std_Nomenclature,Iw,Ix,Iy,Iz,J,PA,PA2,PB,SwA,SwB,SwC,Sx,Sy,Sz,SzA,SzB,SzC,T_F,Type,W,Zx,Zy,b,b_t,d,kdes,kdet,ro,rx,ry,rz,t,tana,wA,wB,wC,x,xp,y,yp,zA,zB,zC
3.02,L3-1/2X3X1/2,0.191,L3-1/2X3X1/2,4.62,3.45,2.32,1.15,0.26,10,9.5,13,2.37,11.4,2.01,1.45,1.09,0.846,0.935,0.846,1.31,F,L,10.2,2.61,1.97,3.5,7,3,0.875,0.88,1.75,1.07,0.877,0.618,0.5,0.713,1.23,1.36,0.878,0.869,0.431,1.12,0.48,1.95,0.407,2.3
2.67,L3-1/2X3X7/16,0.132,L3-1/2X3X7/16,4.16,3.1,2.09,1.02,0.178,10,9.5,13,2.12,10.6,1.79,1.29,0.971,0.773,0.823,0.773,1.14,F,L,9.1,2.32,1.75,3.5,7.99,3,0.813,0.81,1.76,1.08,0.885,0.62,0.438,0.717,1.24,1.32,0.894,0.846,0.381,1.09,0.449,1.96,0.393,2.32
2.32,L3-1/2X3X3/8,0.0858,L3-1/2X3X3/8,3.68,2.73,1.84,0.894,0.114,10,9.5,13,1.85,9.46,1.57,1.12,0.847,0.693,0.715,0.693,0.992,F,L,7.9,2.03,1.52,3.5,9.33,3,0.75,0.75,1.78,1.09,0.892,0.622,0.375,0.72,1.25,1.29,0.901,0.823,0.331,1.07,0.407,1.99,0.389,2.34
1.58,L3-1/2X3X1/4,0.027,L3-1/2X3X1/4,2.6,1.92,1.3,0.622,0.036,10,9.5,13,1.28,6.95,1.09,0.773,0.585,0.486,0.486,0.51,0.67,F,L,5.4,1.39,1.04,3.5,14,3,0.625,0.63,1.8,1.1,0.908,0.628,0.25,0.725,1.28,1.22,0.928,0.773,0.226,1.02,0.34,2.03,0.374,2.39
2.12,L3-1/2X2-1/2X3/8,0.0714,L3-1/2X2-1/2X3/8,3.04,2.56,1.09,0.609,0.103,9.5,8.5,12,1.81,4.11,1.32,1.09,0.589,0.499,0.499,0.554,0.973,F,L,7.2,1.96,1.07,3.5,9.33,2.5,0.75,0.75,1.69,1.1,0.716,0.535,0.375,0.495,1.22,1.1,0.626,0.655,0.303,1.15,0.673,1.68,0.739,2.31
2.77,L3-1/2X2-1/2X1/2,0.159,L3-1/2X2-1/2X1/2,3.82,3.24,1.36,0.781,0.234,9.5,8.5,12,2.33,4.94,1.68,1.41,0.756,0.651,0.651,0.679,1.31,F,L,9.4,2.52,1.39,3.5,7,2.5,0.875,0.88,1.66,1.08,0.701,0.532,0.5,0.485,1.2,1.15,0.598,0.701,0.396,1.2,0.73,1.64,0.774,2.27
1.95,L3-1/2X3X5/16,0.0512,L3-1/2X3X5/16,3.15,2.33,1.58,0.758,0.068,10,9.5,13,1.57,8.22,1.33,0.951,0.718,0.602,0.602,0.602,0.828,F,L,6.6,1.72,1.28,3.5,11.2,3,0.688,0.69,1.79,1.09,0.9,0.624,0.313,0.722,1.26,1.26,0.916,0.798,0.279,1.05,0.38,2.01,0.383,2.36
1.79,L3-1/2X2-1/2X5/16,0.0426,L3-1/2X2-1/2X5/16,2.62,2.2,0.937,0.518,0.0611,9.5,8.5,12,1.53,3.59,1.12,0.925,0.501,0.418,0.418,0.484,0.818,F,L,6.1,1.67,0.9,3.5,11.2,2.5,0.688,0.69,1.71,1.11,0.723,0.538,0.313,0.5,1.24,1.07,0.633,0.632,0.256,1.13,0.636,1.71,0.729,2.33
1.45,L3-1/2X2-1/2X1/4,0.0225,L3-1/2X2-1/2X1/4,2.16,1.81,0.775,0.426,0.0322,9.5,8.5,12,1.26,3.04,0.915,0.753,0.41,0.341,0.341,0.41,0.658,F,L,4.9,1.36,0.728,3.5,14,2.5,0.625,0.63,1.72,1.12,0.731,0.541,0.25,0.504,1.25,1.04,0.647,0.607,0.207,1.1,0.6,1.72,0.71,2.36
2.43,L3X3X7/16,0.1,L3X3X7/16,3.14,1.98,1.98,0.817,0.157,9,9,12,1.59,0,1.59,0.946,0.946,0.638,0.823,0.638,0.823,F,L,8.3,1.7,1.7,3,6.85,3,0.813,0.81,1.6,0.903,0.903,0.58,0.438,1,0.993,1.28,0.993,0.907,0.405,0.907,0.405,1.97,0,1.97
2.76,L3X3X1/2,0.144,L3X3X1/2,3.48,2.2,2.2,0.922,0.23,9,9,12,1.79,0,1.79,1.06,1.06,0.704,0.937,0.704,0.937,F,L,9.4,1.91,1.91,3,6,3,0.875,0.88,1.59,0.895,0.895,0.58,0.5,1,0.984,1.31,0.984,0.929,0.46,0.929,0.46,1.94,0,1.94
