A,AISC_name,Bout,C,EDI_Std_Nomenclature,Ht,Ix,Iy,J,Sx,Sy,T_F,Type,W,Zx,Zy,bin,b_tdes,h,h_tdes,rx,ry,tdes,tnom
2.35,HSS2-1/2X2-1/2X5/16,2.5,2.74,HSS2-1/2X2-1/2X.313,2.5,1.82,1.82,3.2,1.46,1.46,F,HSS,8.45,1.88,1.88,1.63,5.59,1.63,5.59,0.88,0.88,0.291,0.3125
1.54,HSS2-1/2X2-1/2X3/16,2.5,1.86,HSS2-1/2X2-1/2X.188,2.5,1.35,1.35,2.25,1.08,1.08,F,HSS,5.59,1.32,1.32,1.98,11.4,1.98,11.4,0.937,0.937,0.174,0.1875
1.07,HSS2-1/2X2-1/2X1/8,2.5,1.31,HSS2-1/2X2-1/2X.125,2.5,0.998,0.998,1.61,0.799,0.799,F,HSS,3.9,0.947,0.947,2.15,18.6,2.15,18.6,0.965,0.965,0.116,0.125
0.956,HSS2-1/2X2X1/8,2,1.04,HSS2-1/2X2X.125,2.5,0.833,0.589,1.12,0.667,0.589,F,HSS,3.48,0.809,0.694,1.65,14.2,2.15,18.6,0.934,0.785,0.116,0.125
1.74,HSS2-1/2X2X1/4,2,1.82,HSS2-1/2X2X.250,2.5,1.33,0.93,1.9,1.06,0.93,F,HSS,6.26,1.37,1.17,1.3,5.58,1.8,7.73,0.874,0.731,0.233,0.25
1.37,HSS2-1/2X2X3/16,2,1.46,HSS2-1/2X2X.188,2.5,1.12,0.786,1.55,0.894,0.786,F,HSS,4.96,1.12,0.956,1.48,8.49,1.98,11.4,0.904,0.758,0.174,0.1875
0.84,HSS2-1/2X1-1/2X1/8,1.5,0.759,HSS2-1/2X1-1/2X.125,2.5,0.668,0.3,0.687,0.535,0.399,F,HSS,3.05,0.671,0.469,1.15,9.93,2.15,18.6,0.892,0.597,0.116,0.125
1.02,HSS2-1/2X1X3/16,1,0.648,HSS2-1/2X1X.188,2.5,0.646,0.143,0.412,0.517,0.285,F,HSS,3.68,0.713,0.36,0.478,2.75,1.98,11.4,0.796,0.374,0.174,0.1875
1.51,HSS2-1/2X1-1/2X1/4,1.5,1.29,HSS2-1/2X1-1/2X.250,2.5,1.03,0.449,1.1,0.822,0.599,F,HSS,5.41,1.11,0.764,0.801,3.44,1.8,7.73,0.826,0.546,0.233,0.25
1.74,HSS2-1/4X2-1/4X1/4,2.25,1.85,HSS2-1/4X2-1/4X.250,2.25,1.13,1.13,1.96,1.01,1.01,F,HSS,6.26,1.28,1.28,1.55,6.66,1.55,6.66,0.806,0.806,0.233,0.25
0.724,HSS2-1/2X1X1/8,1,0.483,HSS2-1/2X1X.125,2.5,0.503,0.115,0.322,0.403,0.23,F,HSS,2.63,0.532,0.274,0.652,5.62,2.15,18.6,0.834,0.399,0.116,0.125
1.19,HSS2-1/2X1-1/2X3/16,1.5,1.05,HSS2-1/2X1-1/2X.188,2.5,0.882,0.39,0.929,0.705,0.52,F,HSS,4.32,0.915,0.636,0.978,5.62,1.98,11.4,0.86,0.572,0.174,0.1875
0.956,HSS2-1/4X2-1/4X1/8,2.25,1.05,HSS2-1/4X2-1/4X.125,2.25,0.712,0.712,1.15,0.633,0.633,F,HSS,3.48,0.755,0.755,1.9,16.4,1.9,16.4,0.863,0.863,0.116,0.125
1.28,HSS2-1/4X2X3/16,2,1.3,HSS2-1/4X2X.188,2.25,0.859,0.713,1.32,0.764,0.713,F,HSS,4.64,0.952,0.877,1.48,8.49,1.73,9.93,0.819,0.747,0.174,0.1875
1.37,HSS2-1/4X2-1/4X3/16,2.25,1.48,HSS2-1/4X2-1/4X.188,2.25,0.953,0.953,1.6,0.847,0.847,F,HSS,4.96,1.04,1.04,1.73,9.93,1.73,9.93,0.835,0.835,0.174,0.1875
0.898,HSS2-1/4X2X1/8,2,0.927,HSS2-1/4X2X.125,2.25,0.646,0.538,0.957,0.574,0.538,F,HSS,3.27,0.693,0.639,1.65,14.2,1.9,16.4,0.848,0.774,0.116,0.125
1.19,HSS2X2X3/16,2,1.14,HSS2X2X.188,2,0.641,0.641,1.09,0.641,0.641,F,HSS,4.32,0.797,0.797,1.48,8.49,1.48,8.49,0.733,0.733,0.174,0.1875
1.51,HSS2X2X1/4,2,1.41,HSS2X2X.250,2,0.747,0.747,1.31,0.747,0.747,F,HSS,5.41,0.964,0.964,1.3,5.58,1.3,5.58,0.704,0.704,0.233,0.25
1.02,HSS2X1-1/2X3/16,1.5,0.822,HSS2X1-1/2X.188,2,0.495,0.313,0.664,0.495,0.417,F,HSS,3.68,0.639,0.521,0.978,5.62,1.48,8.49,0.697,0.554,0.174,0.1875
0.84,HSS2X2X1/8,2,0.817,HSS2X2X.125,2,0.486,0.486,0.796,0.486,0.486,F,HSS,3.05,0.584,0.584,1.65,14.2,1.65,14.2,0.761,0.761,0.116,0.125
0.724,HSS2X1-1/2X1/8,1.5,0.599,HSS2X1-1/2X.125,2,0.383,0.244,0.496,0.383,0.325,F,HSS,2.63,0.475,0.389,1.15,9.93,1.65,14.2,0.728,0.581,0.116,0.125
0.608,HSS2X1X1/8,1,0.38,HSS2X1X.125,2,0.28,0.0922,0.238,0.28,0.184,F,HSS,2.2,0.366,0.223,0.652,5.62,1.65,14.2,0.679,0.39,0.116,0.125
0.845,HSS2X1X3/16,1,0.505,HSS2X1X.188,2,0.35,0.112,0.301,0.35,0.225,F,HSS,3.04,0.48,0.288,0.478,2.75,1.48,8.49,0.643,0.365,0.174,0.1875
1.28,HSS6X2X14Ga,2,1.88,HSS6X2X14Ga,6,5.49,0.99,2.75,1.83,0.99,F,HSS,4.63,2.34,1.08,1.75,21.09,5.75,69.29,2.07,0.88,0.083,0.0892
0.62,HSS2X2X14Ga,2,0.6,HSS2X2X14Ga,2,0.37,0.37,0.6,0.37,0.37,F,HSS,2.24,0.44,0.44,1.75,21.1,1.75,21.1,0.78,0.78,0.083,0.0892
0.95,HSS4X2X14Ga,2,1.27,HSS4X2X14Ga,4,1.99,0.68,1.64,0.99,0.68,F,HSS,3.44,1.22,0.76,1.75,21.1,3.75,45.19,1.45,0.84,0.083,0.0892
